Source Name	Comment[update information]	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism]	Characteristics[specimen with known storage state]	Characteristics[cell line]	Characteristics[cell type]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[ORIENTATION]	Comment[NOMINAL_LENGTH]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	FactorValue[growth condition]
2i_14	  	ERS470973	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_14	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_14_	sequencing assay	ERX488149	Teichmann_2i_2_14_1.fastq.gz	Teichmann_2i_2_14_1.fastq.gz	ERR522906	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522906/ERR522906_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_14	  	ERS470973	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_14	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_14_	sequencing assay	ERX488149	Teichmann_2i_2_14_2.fastq.gz	Teichmann_2i_2_14_2.fastq.gz	ERR522906	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522906/ERR522906_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_15	  	ERS471089	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_15	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_15_	sequencing assay	ERX488265	Teichmann_2i_2_15_1.fastq.gz	Teichmann_2i_2_15_1.fastq.gz	ERR523158	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523158/ERR523158_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_15	  	ERS471089	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_15	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_15_	sequencing assay	ERX488265	Teichmann_2i_2_15_2.fastq.gz	Teichmann_2i_2_15_2.fastq.gz	ERR523158	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523158/ERR523158_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_16	  	ERS471135	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_16	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_16_	sequencing assay	ERX488311	Teichmann_2i_2_16_1.fastq.gz	Teichmann_2i_2_16_1.fastq.gz	ERR522948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522948/ERR522948_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_16	  	ERS471135	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_16	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_16_	sequencing assay	ERX488311	Teichmann_2i_2_16_2.fastq.gz	Teichmann_2i_2_16_2.fastq.gz	ERR522948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522948/ERR522948_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_17	  	ERS471225	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_17	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_17_	sequencing assay	ERX488401	Teichmann_2i_2_17_1.fastq.gz	Teichmann_2i_2_17_1.fastq.gz	ERR523169	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523169/ERR523169_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_17	  	ERS471225	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_17	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_17_	sequencing assay	ERX488401	Teichmann_2i_2_17_2.fastq.gz	Teichmann_2i_2_17_2.fastq.gz	ERR523169	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523169/ERR523169_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_18	  	ERS470893	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_18	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_18_	sequencing assay	ERX488069	Teichmann_2i_2_18_1.fastq.gz	Teichmann_2i_2_18_1.fastq.gz	ERR523160	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523160/ERR523160_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_18	  	ERS470893	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_18	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_18_	sequencing assay	ERX488069	Teichmann_2i_2_18_2.fastq.gz	Teichmann_2i_2_18_2.fastq.gz	ERR523160	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523160/ERR523160_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_19	  	ERS471020	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_19	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_19_	sequencing assay	ERX488196	Teichmann_2i_2_19_1.fastq.gz	Teichmann_2i_2_19_1.fastq.gz	ERR522929	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522929/ERR522929_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_19	  	ERS471020	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_19	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_19_	sequencing assay	ERX488196	Teichmann_2i_2_19_2.fastq.gz	Teichmann_2i_2_19_2.fastq.gz	ERR522929	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522929/ERR522929_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_2	  	ERS471110	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_2	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_2_	sequencing assay	ERX488286	Teichmann_2i_2_2_1.fastq.gz	Teichmann_2i_2_2_1.fastq.gz	ERR522959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522959/ERR522959_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_2	  	ERS471110	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_2	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_2_	sequencing assay	ERX488286	Teichmann_2i_2_2_2.fastq.gz	Teichmann_2i_2_2_2.fastq.gz	ERR522959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522959/ERR522959_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_20	  	ERS471233	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_20	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_20_	sequencing assay	ERX488409	Teichmann_2i_2_20_1.fastq.gz	Teichmann_2i_2_20_1.fastq.gz	ERR522892	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522892/ERR522892_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_20	  	ERS471233	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_20	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_20_	sequencing assay	ERX488409	Teichmann_2i_2_20_2.fastq.gz	Teichmann_2i_2_20_2.fastq.gz	ERR522892	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522892/ERR522892_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_21	  	ERS471187	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_21	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_21_	sequencing assay	ERX488363	Teichmann_2i_2_21_1.fastq.gz	Teichmann_2i_2_21_1.fastq.gz	ERR523126	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523126/ERR523126_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_21	  	ERS471187	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_21	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_21_	sequencing assay	ERX488363	Teichmann_2i_2_21_2.fastq.gz	Teichmann_2i_2_21_2.fastq.gz	ERR523126	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523126/ERR523126_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_22	  	ERS471128	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_22	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_22_	sequencing assay	ERX488304	Teichmann_2i_2_22_1.fastq.gz	Teichmann_2i_2_22_1.fastq.gz	ERR522829	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522829/ERR522829_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_22	  	ERS471128	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_22	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_22_	sequencing assay	ERX488304	Teichmann_2i_2_22_2.fastq.gz	Teichmann_2i_2_22_2.fastq.gz	ERR522829	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522829/ERR522829_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_23	  	ERS470990	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_23	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_23_	sequencing assay	ERX488166	Teichmann_2i_2_23_1.fastq.gz	Teichmann_2i_2_23_1.fastq.gz	ERR523084	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523084/ERR523084_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_23	  	ERS470990	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_23	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_23_	sequencing assay	ERX488166	Teichmann_2i_2_23_2.fastq.gz	Teichmann_2i_2_23_2.fastq.gz	ERR523084	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523084/ERR523084_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_24	  	ERS471228	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_24	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_24_	sequencing assay	ERX488404	Teichmann_2i_2_24_1.fastq.gz	Teichmann_2i_2_24_1.fastq.gz	ERR522868	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522868/ERR522868_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_24	  	ERS471228	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_24	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_24_	sequencing assay	ERX488404	Teichmann_2i_2_24_2.fastq.gz	Teichmann_2i_2_24_2.fastq.gz	ERR522868	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522868/ERR522868_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_25	  	ERS471132	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_25	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_25_	sequencing assay	ERX488308	Teichmann_2i_2_25_1.fastq.gz	Teichmann_2i_2_25_1.fastq.gz	ERR522885	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522885/ERR522885_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_25	  	ERS471132	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_25	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_25_	sequencing assay	ERX488308	Teichmann_2i_2_25_2.fastq.gz	Teichmann_2i_2_25_2.fastq.gz	ERR522885	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522885/ERR522885_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_26	  	ERS471025	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_26	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_26_	sequencing assay	ERX488201	Teichmann_2i_2_26_1.fastq.gz	Teichmann_2i_2_26_1.fastq.gz	ERR523199	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523199/ERR523199_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_26	  	ERS471025	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_26	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_26_	sequencing assay	ERX488201	Teichmann_2i_2_26_2.fastq.gz	Teichmann_2i_2_26_2.fastq.gz	ERR523199	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523199/ERR523199_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_27	  	ERS470900	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_27	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_27_	sequencing assay	ERX488076	Teichmann_2i_2_27_1.fastq.gz	Teichmann_2i_2_27_1.fastq.gz	ERR522819	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522819/ERR522819_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_27	  	ERS470900	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_27	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_27_	sequencing assay	ERX488076	Teichmann_2i_2_27_2.fastq.gz	Teichmann_2i_2_27_2.fastq.gz	ERR522819	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522819/ERR522819_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_28	  	ERS471012	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_28	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_28_	sequencing assay	ERX488188	Teichmann_2i_2_28_1.fastq.gz	Teichmann_2i_2_28_1.fastq.gz	ERR522878	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522878/ERR522878_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_28	  	ERS471012	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_28	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_28_	sequencing assay	ERX488188	Teichmann_2i_2_28_2.fastq.gz	Teichmann_2i_2_28_2.fastq.gz	ERR522878	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522878/ERR522878_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_29	  	ERS471093	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_29	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_29_	sequencing assay	ERX488269	Teichmann_2i_2_29_1.fastq.gz	Teichmann_2i_2_29_1.fastq.gz	ERR523031	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523031/ERR523031_1.fastq.gz	200	101	100	101	standard 2i media + LIF
